reviewId,field,seed,llm,similarity
0ae8ebb8-6eda-406e-869b-f4af03eeb38e,sentimentScore,,9,0.00
0ae8ebb8-6eda-406e-869b-f4af03eeb38e,sentimentSummary,"""overwhelmingly positive""","""Very positive""",0.33
0ae8ebb8-6eda-406e-869b-f4af03eeb38e,verdict,,"""positive""",0.00
0ae8ebb8-6eda-406e-869b-f4af03eeb38e,biasIndicators,"[""fan of fromsoftware game""]","[""franchise bias""]",0.00
0ae8ebb8-6eda-406e-869b-f4af03eeb38e,reviewSummary,"""Elden Ring offers a vast, challenging world with rewarding exploration and combat. Best for fans of FromSoftware, but the difficulty and sparse story may not appeal to everyone.""","""The Witcher 3: Wild Hunt is an exceptional open-world RPG that combines stunning visuals, a captivating storyline, and rich gameplay mechanics. Although it has a few technical hiccups and a learning curve, its overall experience is unmatched.""",0.07
0ae8ebb8-6eda-406e-869b-f4af03eeb38e,alsoRecommends,"[""The Witcher 3"",""Dark Souls 3""]","[""Red Dead Redemption 2"",""Skyrim""]",0.00
0ae8ebb8-6eda-406e-869b-f4af03eeb38e,pros,"[""Open world"",""Combat"",""Atmosphere""]","[""Immersive open world"",""Deep and engaging storyline"",""Incredible attention to detail""]",0.22
0ae8ebb8-6eda-406e-869b-f4af03eeb38e,cons,"[""Difficulty"",""Sparse story moments""]","[""Occasional technical glitches"",""Steep learning curve for newcomers""]",0.00
bb6fc57b-0dbc-49bd-8eb6-cce48fc193c3,sentimentScore,,7,0.00
bb6fc57b-0dbc-49bd-8eb6-cce48fc193c3,sentimentSummary,"""very positive""","""Mostly positive""",0.33
bb6fc57b-0dbc-49bd-8eb6-cce48fc193c3,verdict,,"""positive""",0.00
bb6fc57b-0dbc-49bd-8eb6-cce48fc193c3,biasIndicators,"[""prefers story-driven game""]","[""genre aversion"",""technical criticism""]",0.00
bb6fc57b-0dbc-49bd-8eb6-cce48fc193c3,reviewSummary,"""The Witcher 3 is a must-play for story lovers, with an incredible world and quests, but bugs and clunky combat hold it back. Recommended for those who value narrative over gameplay polish.""","""This in-depth review of the latest RPG provides a detailed analysis of its immersive world-building and complex character progression. While suitable for fans of the genre and RPG enthusiasts, it may present challenges for beginners due to its steep learning curve and slightly repetitive side quests.""",0.11
bb6fc57b-0dbc-49bd-8eb6-cce48fc193c3,alsoRecommends,"[""Elden Ring"",""Red Dead Redemption 2""]","[""Fans of the genre"",""RPG enthusiasts""]",0.00
bb6fc57b-0dbc-49bd-8eb6-cce48fc193c3,pros,"[""Story"",""World"",""Quests""]","[""Immersive world-building"",""Complex character progression""]",0.13
bb6fc57b-0dbc-49bd-8eb6-cce48fc193c3,cons,"[""Bugs"",""Clunky combat""]","[""Steep learning curve for beginners"",""Repetitive side quests""]",0.00
7b3f9efe-be39-48df-ad6f-92cb17e754cd,sentimentScore,,7,0.00
7b3f9efe-be39-48df-ad6f-92cb17e754cd,sentimentSummary,"""mixed to negative""","""Mostly positive""",0.00
7b3f9efe-be39-48df-ad6f-92cb17e754cd,verdict,,"""positive""",0.00
7b3f9efe-be39-48df-ad6f-92cb17e754cd,biasIndicators,"[""prefers accessible game"",""not a fan of soulslike""]","[""franchise bias""]",0.00
7b3f9efe-be39-48df-ad6f-92cb17e754cd,reviewSummary,"""Elden Ring is visually stunning but can be frustratingly difficult and repetitive. Not recommended for those who dislike Soulslike games or want a more guided experience.""","""The latest installment in this beloved franchise delivers on its promise of immersive storytelling and engaging gameplay, although it does suffer from some technical issues.""",0.02
7b3f9efe-be39-48df-ad6f-92cb17e754cd,alsoRecommends,"[""The Legend of Zelda: Breath of the Wild""]","[""Fans of the series"",""Players looking for immersive storytelling""]",0.17
7b3f9efe-be39-48df-ad6f-92cb17e754cd,pros,"[""Visuals""]","[""Immersive world-building"",""Engaging narrative"",""Interesting characters""]",0.00
7b3f9efe-be39-48df-ad6f-92cb17e754cd,cons,"[""Unfair difficulty"",""Lack of direction"",""Repetitive bosses""]","[""Some technical glitches"",""Repetitive gameplay elements""]",0.10
0ee19a29-d25d-4a1a-879f-5dde287f9ebb,sentimentScore,,6,0.00
0ee19a29-d25d-4a1a-879f-5dde287f9ebb,sentimentSummary,"""mixed""","""Mostly positive""",0.00
0ee19a29-d25d-4a1a-879f-5dde287f9ebb,verdict,,"""Positive""",0.00
0ee19a29-d25d-4a1a-879f-5dde287f9ebb,biasIndicators,"[""critical of technical issue""]","[""franchise bias""]",0.00
0ee19a29-d25d-4a1a-879f-5dde287f9ebb,reviewSummary,"""The Witcher 3 shines in story and side quests, but technical flaws and mediocre combat may frustrate some players. Worth playing if you can overlook the issues.""","""The reviewer praises the game's engaging storyline and well-developed characters, but notes the presence of repetitive gameplay elements and technical issues.""",0.13
0ee19a29-d25d-4a1a-879f-5dde287f9ebb,alsoRecommends,"[""Cyberpunk 2077""]","[""Fans of the franchise"",""RPG enthusiasts""]",0.00
0ee19a29-d25d-4a1a-879f-5dde287f9ebb,pros,"[""Story"",""Side quests""]","[""Engaging storyline"",""Well-developed characters""]",0.00
0ee19a29-d25d-4a1a-879f-5dde287f9ebb,cons,"[""Combat"",""UI"",""Performance issues""]","[""Repetitive gameplay elements"",""Technical issues""]",0.13
55cefe8f-357e-4e5c-8c7d-db7336a1cb0b,sentimentScore,,5,0.00
55cefe8f-357e-4e5c-8c7d-db7336a1cb0b,sentimentSummary,"""positive with platform bias""","""Mixed""",0.00
55cefe8f-357e-4e5c-8c7d-db7336a1cb0b,verdict,,"""Mixed""",0.00
55cefe8f-357e-4e5c-8c7d-db7336a1cb0b,biasIndicators,"[""playstation fan"",""platform loyalty""]","[""technical criticism""]",0.00
55cefe8f-357e-4e5c-8c7d-db7336a1cb0b,reviewSummary,"""Great game, but PlayStation performance issues hold it back a bit for platform loyalists.""","""The game boasts impressive technical prowess with stunning graphics and smooth gameplay, but falls short in terms of originality, offering little innovation in gameplay mechanics and a recycled storyline.""",0.08
55cefe8f-357e-4e5c-8c7d-db7336a1cb0b,alsoRecommends,"[""Bloodborne""]","[""Fans of the series looking for more of the same technical excellence""]",0.00
55cefe8f-357e-4e5c-8c7d-db7336a1cb0b,pros,"[""Visuals"",""Combat""]","[""Stunning graphics"",""Smooth gameplay mechanics"",""Great attention to detail""]",0.00
55cefe8f-357e-4e5c-8c7d-db7336a1cb0b,cons,"[""Performance on PS5""]","[""Lack of innovation in gameplay"",""Storyline feels recycled""]",0.00
2ba01d0a-5beb-4161-baf9-1251a07dc323,sentimentScore,,7,0.00
