reviewId,field,seed,llm,similarity
044d4208-19b7-4a90-a2b9-f3e0ab7d318d,sentimentScore,undefined,5,0.00
044d4208-19b7-4a90-a2b9-f3e0ab7d318d,sentimentSummary,"Overwhelmingly positive","Neutral",0.00
044d4208-19b7-4a90-a2b9-f3e0ab7d318d,verdict,undefined,"Neutral",0.00
044d4208-19b7-4a90-a2b9-f3e0ab7d318d,biasIndicators,[],[],1.00
044d4208-19b7-4a90-a2b9-f3e0ab7d318d,reviewSummary,null,"No review transcript available for analysis.",0.00
044d4208-19b7-4a90-a2b9-f3e0ab7d318d,alsoRecommends,["The Witcher 3"],[],0.00
044d4208-19b7-4a90-a2b9-f3e0ab7d318d,pros,["Open world","Combat","Atmosphere"],[],0.00
044d4208-19b7-4a90-a2b9-f3e0ab7d318d,cons,["Difficulty"],[],0.00
6d2f3913-9de8-4552-ac4c-b9a1d4172fa3,sentimentScore,undefined,5,0.00
6d2f3913-9de8-4552-ac4c-b9a1d4172fa3,sentimentSummary,"Overwhelmingly positive","Neutral",0.00
6d2f3913-9de8-4552-ac4c-b9a1d4172fa3,verdict,undefined,"Neutral",0.00
6d2f3913-9de8-4552-ac4c-b9a1d4172fa3,biasIndicators,[],[],1.00
6d2f3913-9de8-4552-ac4c-b9a1d4172fa3,reviewSummary,null,"Unfortunately, no review is available for analysis. Please check back later for updates.",0.00
6d2f3913-9de8-4552-ac4c-b9a1d4172fa3,alsoRecommends,["The Witcher 3"],[],0.00
6d2f3913-9de8-4552-ac4c-b9a1d4172fa3,pros,["Open world","Combat","Atmosphere"],[],0.00
6d2f3913-9de8-4552-ac4c-b9a1d4172fa3,cons,["Difficulty"],[],0.00
7f51e540-4f73-4239-8eb3-72f10a173f3e,sentimentScore,undefined,0,0.00
7f51e540-4f73-4239-8eb3-72f10a173f3e,sentimentSummary,"Very positive","Neutral",0.00
7f51e540-4f73-4239-8eb3-72f10a173f3e,verdict,undefined,"neutral",0.00
7f51e540-4f73-4239-8eb3-72f10a173f3e,biasIndicators,[],[],1.00
7f51e540-4f73-4239-8eb3-72f10a173f3e,reviewSummary,null,"No detailed review available at this time.",0.00
7f51e540-4f73-4239-8eb3-72f10a173f3e,alsoRecommends,["Elden Ring"],[],0.00
7f51e540-4f73-4239-8eb3-72f10a173f3e,pros,["Story","World","Quests"],[],0.00
7f51e540-4f73-4239-8eb3-72f10a173f3e,cons,["Bugs"],[],0.00
45118acf-fa46-43a0-8eac-ee14b4cf2429,sentimentScore,undefined,5,0.00
45118acf-fa46-43a0-8eac-ee14b4cf2429,sentimentSummary,"Overwhelmingly positive","Neutral",0.00
45118acf-fa46-43a0-8eac-ee14b4cf2429,verdict,undefined,"Neutral",0.00
45118acf-fa46-43a0-8eac-ee14b4cf2429,biasIndicators,[],[],1.00
45118acf-fa46-43a0-8eac-ee14b4cf2429,reviewSummary,null,"No detailed review transcript is provided.",0.00
45118acf-fa46-43a0-8eac-ee14b4cf2429,alsoRecommends,["The Witcher 3"],[],0.00
45118acf-fa46-43a0-8eac-ee14b4cf2429,pros,["Open world","Combat","Atmosphere"],[],0.00
45118acf-fa46-43a0-8eac-ee14b4cf2429,cons,["Difficulty"],[],0.00
f6cd687c-c362-4350-abd4-06cf2151a0f5,sentimentScore,undefined,9,0.00
f6cd687c-c362-4350-abd4-06cf2151a0f5,sentimentSummary,"Overwhelmingly positive","Very positive",0.33
f6cd687c-c362-4350-abd4-06cf2151a0f5,verdict,undefined,"positive",0.00
f6cd687c-c362-4350-abd4-06cf2151a0f5,biasIndicators,[],["franchise bias"],0.00
f6cd687c-c362-4350-abd4-06cf2151a0f5,reviewSummary,null,"Elden Ring impresses with its masterful open world design, challenging combat mechanics, and richly detailed world, making it a must-play for fans of FromSoftware games.",0.00
f6cd687c-c362-4350-abd4-06cf2151a0f5,alsoRecommends,["The Witcher 3"],["fans of FromSoftware games"],0.00
f6cd687c-c362-4350-abd4-06cf2151a0f5,pros,["Open world","Combat","Atmosphere"],["Masterpiece open world design","Challenging and rewarding combat","World full of secrets"],0.28
f6cd687c-c362-4350-abd4-06cf2151a0f5,cons,["Difficulty"],[],0.00
a3979620-9e71-402c-a600-3624352a66f4,sentimentScore,undefined,8,0.00
a3979620-9e71-402c-a600-3624352a66f4,sentimentSummary,"Very positive","Mostly positive",0.33
a3979620-9e71-402c-a600-3624352a66f4,verdict,undefined,"positive",0.00
a3979620-9e71-402c-a600-3624352a66f4,biasIndicators,[],[],1.00
a3979620-9e71-402c-a600-3624352a66f4,reviewSummary,null,"The Witcher 3 is a standout RPG that excels in storytelling and world-building, although it has some technical issues.",0.00
a3979620-9e71-402c-a600-3624352a66f4,alsoRecommends,["Elden Ring"],[],0.00
a3979620-9e71-402c-a600-3624352a66f4,pros,["Story","World","Quests"],["Incredible story and world-building","Sets a new standard for RPGs"],0.12
a3979620-9e71-402c-a600-3624352a66f4,cons,["Bugs"],["Some bugs"],0.50
604212bc-6af5-481a-a060-aca1056bcf73,sentimentScore,undefined,9,0.00
604212bc-6af5-481a-a060-aca1056bcf73,sentimentSummary,"Overwhelmingly positive","Mostly positive",0.33
604212bc-6af5-481a-a060-aca1056bcf73,verdict,undefined,"positive",0.00
604212bc-6af5-481a-a060-aca1056bcf73,biasIndicators,["fan of fromsoftware game"],["franchise bias"],0.00
604212bc-6af5-481a-a060-aca1056bcf73,reviewSummary,"Elden Ring offers a vast, challenging world with rewarding exploration and combat. Best for fans of FromSoftware, but the difficulty and sparse story may not appeal to everyone.","Elden Ring delivers an exceptional open-world experience with challenging combat and a vast world full of secrets. While the difficulty level may not appeal to everyone and the storytelling is sparse, the sense of discovery and FromSoftware's signature design make it a must-play title, especially for fans of Dark Souls 3 and The Witcher 3.",0.40
604212bc-6af5-481a-a060-aca1056bcf73,alsoRecommends,["The Witcher 3","Dark Souls 3"],["Dark Souls 3","The Witcher 3"],1.00
604212bc-6af5-481a-a060-aca1056bcf73,pros,["Open world","Combat","Atmosphere"],["Masterful open world design","Challenging and rewarding combat","Rich world full of secrets"],0.28
604212bc-6af5-481a-a060-aca1056bcf73,cons,["Difficulty","Sparse story moments"],["Challenging difficulty may deter some players","Sparse storytelling"],0.21
ff7e4b78-0a27-464f-aedd-262072fee8ee,sentimentScore,undefined,8,0.00
ff7e4b78-0a27-464f-aedd-262072fee8ee,sentimentSummary,"Very positive","Very positive",1.00
ff7e4b78-0a27-464f-aedd-262072fee8ee,verdict,undefined,"positive",0.00
ff7e4b78-0a27-464f-aedd-262072fee8ee,biasIndicators,["prefers story-driven game"],["story-driven bias"],0.40
ff7e4b78-0a27-464f-aedd-262072fee8ee,reviewSummary,"The Witcher 3 is a must-play for story lovers, with an incredible world and quests, but bugs and clunky combat hold it back. Recommended for those who value narrative over gameplay polish.","The Witcher 3 offers a groundbreaking RPG experience with an incredible story and world. While some bugs persist and combat can be clunky, it is a must-play for fans of story-driven games, comparable to Elden Ring and Red Dead Redemption 2.",0.35
ff7e4b78-0a27-464f-aedd-262072fee8ee,alsoRecommends,["Elden Ring","Red Dead Redemption 2"],["Elden Ring","Red Dead Redemption 2"],1.00
ff7e4b78-0a27-464f-aedd-262072fee8ee,pros,["Story","World","Quests"],["Incredible story and world","Best quests"],0.35
ff7e4b78-0a27-464f-aedd-262072fee8ee,cons,["Bugs","Clunky combat"],["Bugs even after patches","Clunky combat"],0.63
8cb92090-c029-4cda-9145-0c8c4370646a,sentimentScore,undefined,3,0.00
8cb92090-c029-4cda-9145-0c8c4370646a,sentimentSummary,"Mixed to negative","Mixed (genre aversion)",0.20
8cb92090-c029-4cda-9145-0c8c4370646a,verdict,undefined,"negative",0.00
8cb92090-c029-4cda-9145-0c8c4370646a,biasIndicators,["prefers accessible game","not a fan of soulslike"],["genre aversion"],0.00
8cb92090-c029-4cda-9145-0c8c4370646a,reviewSummary,"Elden Ring is visually stunning but can be frustratingly difficult and repetitive. Not recommended for those who dislike Soulslike games or want a more guided experience.","The reviewer found Elden Ring visually appealing but struggled with its difficulty and lack of guidance. They prefer more accessible games and recommend Breath of the Wild for a more welcoming experience.",0.23
8cb92090-c029-4cda-9145-0c8c4370646a,alsoRecommends,["The Legend of Zelda: Breath of the Wild"],["Breath of the Wild"],0.67
8cb92090-c029-4cda-9145-0c8c4370646a,pros,["Visuals"],["Impressive visuals"],0.50
8cb92090-c029-4cda-9145-0c8c4370646a,cons,["Unfair difficulty","Lack of direction","Repetitive bosses"],["Unfair difficulty","Lack of direction"],0.80
47fbe7c0-0632-49fa-aee5-812fb985a38a,sentimentScore,undefined,4,0.00
47fbe7c0-0632-49fa-aee5-812fb985a38a,sentimentSummary,"Mixed","Mixed",1.00
47fbe7c0-0632-49fa-aee5-812fb985a38a,verdict,undefined,"mixed",0.00
47fbe7c0-0632-49fa-aee5-812fb985a38a,biasIndicators,["critical of technical issue"],["genre aversion"],0.00
47fbe7c0-0632-49fa-aee5-812fb985a38a,reviewSummary,"The Witcher 3 shines in story and side quests, but technical flaws and mediocre combat may frustrate some players. Worth playing if you can overlook the issues.","The Witcher 3 offers an engaging story and immersive side quests but falls short with a mediocre combat system, clunky UI, and performance issues. Despite its flaws, it can be enjoyed if technical problems are overlooked. For a more polished experience, consider trying Cyberpunk 2077.",0.28
47fbe7c0-0632-49fa-aee5-812fb985a38a,alsoRecommends,["Cyberpunk 2077"],["Cyberpunk 2077"],1.00
47fbe7c0-0632-49fa-aee5-812fb985a38a,pros,["Story","Side quests"],["Engaging story","Immersive side quests"],0.58
47fbe7c0-0632-49fa-aee5-812fb985a38a,cons,["Combat","UI","Performance issues"],["Mediocre combat system","Clunky UI","Performance issues"],0.61
81fd9073-8a5a-478c-bc17-6034f1e07a5e,sentimentScore,undefined,9,0.00
81fd9073-8a5a-478c-bc17-6034f1e07a5e,sentimentSummary,"Overwhelmingly positive","Mostly positive",0.33
81fd9073-8a5a-478c-bc17-6034f1e07a5e,verdict,undefined,"positive",0.00
81fd9073-8a5a-478c-bc17-6034f1e07a5e,biasIndicators,["fan of fromsoftware game"],["franchise bias"],0.00
81fd9073-8a5a-478c-bc17-6034f1e07a5e,reviewSummary,"Elden Ring offers a vast, challenging world with rewarding exploration and combat. Best for fans of FromSoftware, but the difficulty and sparse story may not appeal to everyone.","Elden Ring excels in open-world design with challenging combat and a sense of discovery but may not appeal to all due to its difficulty and sparse story. A must-play for fans of FromSoftware and similar RPGs like Dark Souls 3 and The Witcher 3.",0.47
81fd9073-8a5a-478c-bc17-6034f1e07a5e,alsoRecommends,["The Witcher 3","Dark Souls 3"],["Dark Souls 3","The Witcher 3"],1.00
81fd9073-8a5a-478c-bc17-6034f1e07a5e,pros,["Open world","Combat","Atmosphere"],["Masterful open world design","Challenging and rewarding combat","Full of secrets and discoveries"],0.25
81fd9073-8a5a-478c-bc17-6034f1e07a5e,cons,["Difficulty","Sparse story moments"],["Difficulty may turn off some players","Sparse story at times"],0.28
834a8365-db26-46db-8487-4ba214b82ee2,sentimentScore,undefined,8,0.00
834a8365-db26-46db-8487-4ba214b82ee2,sentimentSummary,"Very positive","Mostly positive",0.33
834a8365-db26-46db-8487-4ba214b82ee2,verdict,undefined,"positive",0.00
834a8365-db26-46db-8487-4ba214b82ee2,biasIndicators,["prefers story-driven game"],["story-driven bias"],0.40
834a8365-db26-46db-8487-4ba214b82ee2,reviewSummary,"The Witcher 3 is a must-play for story lovers, with an incredible world and quests, but bugs and clunky combat hold it back. Recommended for those who value narrative over gameplay polish.","The Witcher 3 is a must-play for fans of story-driven games, offering an unparalleled narrative experience alongside a richly detailed world. While technical issues persist, the game's strengths make it worth the investment.",0.25
834a8365-db26-46db-8487-4ba214b82ee2,alsoRecommends,["Elden Ring","Red Dead Redemption 2"],["Elden Ring","Red Dead Redemption 2"],1.00
834a8365-db26-46db-8487-4ba214b82ee2,pros,["Story","World","Quests"],["Incredible story and world-building","Engaging quests"],0.32
834a8365-db26-46db-8487-4ba214b82ee2,cons,["Bugs","Clunky combat"],["Persistent bugs","Clunky combat"],0.75
73da0e94-4474-4aaf-9f48-9cd381b9c8de,sentimentScore,undefined,4,0.00
73da0e94-4474-4aaf-9f48-9cd381b9c8de,sentimentSummary,"Mixed to negative","Mixed (genre aversion)",0.20
73da0e94-4474-4aaf-9f48-9cd381b9c8de,verdict,undefined,"negative",0.00
73da0e94-4474-4aaf-9f48-9cd381b9c8de,biasIndicators,["prefers accessible game","not a fan of soulslike"],["genre aversion"],0.00
